Company,Date,Close/Last,Volume,Open,High,Low
META,07/25/2013,0.12,1.0,0.11,0.12,0.11
META,07/24/2013,0.09,0.49,0.09,0.09,0.09
META,07/23/2013,0.09,0.18,0.09,0.09,0.09
META,07/22/2013,0.09,0.17,0.09,0.09,0.09
META,07/19/2013,0.09,0.3,0.09,0.09,0.09
META,07/18/2013,0.09,0.15,0.09,0.09,0.09
AMZN,07/17/2023,0.47,0.31,0.48,0.47,0.48
AMZN,07/14/2023,0.48,0.35,0.47,0.48,0.48
AMZN,07/13/2023,0.48,0.39,0.47,0.47,0.48
AMZN,07-12-2023,0.46,0.35,0.46,0.46,0.46
AMZN,07-11-2023,0.46,0.32,0.45,0.45,0.46
AMZN,07-10-2023,0.45,0.4,0.46,0.45,0.45
AMZN,07-07-2023,0.46,0.27,0.45,0.46,0.46
AMZN,07-06-2023,0.45,0.26,0.45,0.45,0.46
AMZN,07-05-2023,0.46,0.23,0.46,0.46,0.46
AMZN,07-03-2023,0.46,0.18,0.46,0.46,0.47
AMZN,06/30/2023,0.46,0.35,0.46,0.46,0.46
AMZN,06/29/2023,0.45,0.26,0.46,0.45,0.46
AMZN,06/28/2023,0.46,0.33,0.46,0.46,0.46
AMZN,06/27/2023,0.46,0.3,0.45,0.45,0.46
AMZN,06/26/2023,0.45,0.39,0.46,0.46,0.45
AMZN,06/23/2023,0.46,0.46,0.46,0.46,0.46
AMZN,06/22/2023,0.46,0.59,0.44,0.45,0.45
AMZN,06/21/2023,0.44,0.33,0.44,0.44,0.44
AMZN,06/20/2023,0.44,0.37,0.44,0.44,0.45
AMZN,06/16/2023,0.44,0.55,0.45,0.45,0.45
AMZN,06/15/2023,0.45,0.39,0.44,0.44,0.44
AMZN,06/14/2023,0.45,0.34,0.45,0.44,0.44
AMZN,06/13/2023,0.45,0.32,0.45,0.45,0.45
AMZN,06-12-2023,0.45,0.33,0.44,0.44,0.44
AMZN,06-09-2023,0.44,0.33,0.44,0.44,0.44
AMZN,06-08-2023,0.44,0.4,0.43,0.44,0.44
AMZN,06-07-2023,0.43,0.62,0.45,0.44,0.43
AMZN,06-06-2023,0.45,0.29,0.44,0.44,0.45
AMZN,06-05-2023,0.44,0.31,0.44,0.44,0.44
AMZN,06-02-2023,0.44,0.39,0.44,0.44,0.44
AMZN,06-01-2023,0.43,0.35,0.43,0.43,0.43
AMZN,05/31/2023,0.43,0.47,0.43,0.42,0.43
AMZN,05/30/2023,0.43,0.41,0.43,0.43,0.43
AMZN,05/26/2023,0.42,0.63,0.41,0.42,0.41
AMZN,05/25/2023,0.41,0.43,0.41,0.41,0.41
AMZN,05/24/2023,0.41,0.41,0.41,0.41,0.41
AMZN,05/23/2023,0.41,0.44,0.4,0.41,0.41
AMZN,05/22/2023,0.41,0.46,0.41,0.41,0.41
AMZN,05/19/2023,0.41,0.35,0.42,0.41,0.41
AMZN,05/18/2023,0.42,0.47,0.41,0.41,0.42
AMZN,05/17/2023,0.41,0.42,0.41,0.4,0.41
AMZN,05/16/2023,0.4,0.46,0.39,0.4,0.4
AMZN,05/15/2023,0.39,0.34,0.39,0.39,0.39
AMZN,05-12-2023,0.39,0.32,0.4,0.39,0.39
AMZN,05-11-2023,0.4,0.48,0.39,0.39,0.39
AMZN,05-10-2023,0.39,0.51,0.38,0.38,0.39
AMZN,05-09-2023,0.38,0.28,0.37,0.37,0.38
AMZN,05-08-2023,0.37,0.32,0.37,0.37,0.37
AMZN,05-05-2023,0.37,0.37,0.37,0.37,0.37
AMZN,05-04-2023,0.37,0.29,0.37,0.37,0.37
AMZN,05-03-2023,0.37,0.42,0.37,0.37,0.37
AMZN,05-02-2023,0.37,0.47,0.36,0.36,0.36
AMZN,05-01-2023,0.36,0.48,0.37,0.37,0.36
AMZN,04/28/2023,0.37,0.85,0.38,0.38,0.37
AMZN,04/27/2023,0.39,0.98,0.38,0.38,0.38
AMZN,04/26/2023,0.37,0.48,0.37,0.37,0.37
AMZN,04/25/2023,0.36,0.42,0.37,0.37,0.37
AMZN,04/24/2023,0.37,0.45,0.38,0.38,0.38
AMZN,04/21/2023,0.38,0.56,0.37,0.38,0.38
AMZN,04/20/2023,0.37,0.37,0.36,0.37,0.37
AMZN,04/19/2023,0.37,0.38,0.36,0.36,0.36
AMZN,04/18/2023,0.36,0.25,0.37,0.36,0.36
AMZN,04/17/2023,0.36,0.25,0.36,0.36,0.36
AMZN,04/14/2023,0.36,0.33,0.36,0.36,0.36
AMZN,04/13/2023,0.36,0.44,0.35,0.36,0.35
AMZN,04-12-2023,0.34,0.37,0.35,0.35,0.35
AMZN,04-11-2023,0.35,0.39,0.35,0.35,0.35
AMZN,04-10-2023,0.36,0.24,0.36,0.35,0.36
AMZN,04-06-2023,0.36,0.28,0.35,0.36,0.36
AMZN,04-05-2023,0.36,0.29,0.37,0.36,0.36
AMZN,04-04-2023,0.37,0.31,0.36,0.36,0.36
AMZN,04-03-2023,0.36,0.26,0.36,0.36,0.36
AMZN,03/31/2023,0.36,0.37,0.36,0.36,0.36
AMZN,03/30/2023,0.36,0.34,0.36,0.36,0.36
AMZN,03/29/2023,0.35,0.32,0.35,0.35,0.35
AMZN,03/28/2023,0.34,0.25,0.35,0.34,0.34
AMZN,03/27/2023,0.35,0.3,0.35,0.34,0.35
AMZN,03/24/2023,0.35,0.36,0.35,0.34,0.34
AMZN,03/23/2023,0.35,0.37,0.35,0.35,0.35
AMZN,03/22/2023,0.35,0.37,0.35,0.35,0.35
AMZN,03/21/2023,0.35,0.38,0.35,0.35,0.35
AMZN,03/20/2023,0.34,0.4,0.35,0.34,0.34
AMZN,03/17/2023,0.35,0.57,0.35,0.35,0.35
AMZN,03/16/2023,0.35,0.55,0.34,0.35,0.34
AMZN,03/15/2023,0.34,0.46,0.33,0.33,0.33
AMZN,03/14/2023,0.33,0.39,0.33,0.33,0.33
