date,open,high,low,close,volume,rsi_7,rsi_14,cci_7,cci_14,sma_50,ema_50,sma_100,ema_100,macd,bollinger,TrueRange,atr_7,atr_14,next_day_close
2019-03-22,0.02,0.02,0.02,0.02,0.55,0.27,0.27,0.32,0.27,0.03,0.03,0.03,0.03,0.34,0.03,0.03,0.02,0.02,0.02
2019-03-25,0.02,0.02,0.02,0.02,0.65,0.24,0.24,0.15,0.21,0.03,0.03,0.03,0.03,0.33,0.03,0.03,0.02,0.02,0.02
2019-03-26,0.02,0.02,0.02,0.02,0.45,0.38,0.32,0.46,0.35,0.03,0.03,0.03,0.03,0.33,0.02,0.03,0.02,0.02,0.02
2019-03-27,0.02,0.02,0.02,0.02,0.55,0.48,0.39,0.68,0.42,0.03,0.03,0.03,0.03,0.34,0.02,0.02,0.02,0.02,0.02
2019-03-28,0.02,0.02,0.02,0.02,0.41,0.53,0.42,0.76,0.49,0.03,0.03,0.03,0.03,0.35,0.02,0.01,0.02,0.02,0.02
2019-03-29,0.02,0.02,0.02,0.02,0.36,0.55,0.43,0.7,0.51,0.03,0.03,0.03,0.03,0.36,0.02,0.01,0.02,0.02,0.02
2019-04-01,0.02,0.02,0.02,0.02,0.5,0.66,0.51,0.78,0.63,0.03,0.03,0.03,0.03,0.38,0.02,0.03,0.02,0.02,0.02
2019-04-02,0.02,0.02,0.02,0.02,0.32,0.6,0.48,0.7,0.63,0.03,0.03,0.03,0.03,0.39,0.02,0.01,0.01,0.01,0.03
2019-04-03,0.02,0.02,0.03,0.03,0.49,0.66,0.53,0.74,0.71,0.03,0.03,0.03,0.03,0.41,0.02,0.03,0.01,0.01,0.02
2019-04-04,0.02,0.02,0.02,0.02,1.0,0.35,0.35,0.23,0.35,0.03,0.03,0.03,0.03,0.4,0.02,0.11,0.02,0.02,0.02
2019-04-05,0.02,0.02,0.02,0.02,0.84,0.44,0.4,0.35,0.43,0.03,0.03,0.03,0.03,0.4,0.02,0.03,0.02,0.02,0.02
2019-04-08,0.02,0.02,0.02,0.02,0.66,0.42,0.39,0.41,0.46,0.03,0.03,0.03,0.03,0.4,0.02,0.03,0.02,0.02,0.02
2019-04-09,0.02,0.02,0.02,0.02,0.35,0.41,0.39,0.39,0.42,0.03,0.03,0.03,0.03,0.4,0.02,0.01,0.02,0.02,0.02
2019-04-10,0.02,0.02,0.02,0.02,0.43,0.47,0.42,0.47,0.47,0.03,0.03,0.03,0.03,0.4,0.02,0.01,0.02,0.02,0.02
2019-04-11,0.02,0.02,0.02,0.02,0.62,0.37,0.36,0.33,0.35,0.03,0.03,0.03,0.03,0.39,0.02,0.03,0.02,0.02,0.02
2019-04-12,0.02,0.02,0.02,0.02,0.41,0.36,0.36,0.38,0.34,0.03,0.03,0.03,0.03,0.39,0.02,0.01,0.02,0.02,0.02
2019-04-15,0.02,0.02,0.02,0.02,0.63,0.35,0.35,0.22,0.28,0.03,0.03,0.03,0.03,0.39,0.02,0.03,0.02,0.02,0.02
